,up,down,left,right
"(9,1)",-7.0,-5.0,-206.0,-204.0
"(9,2)",-5.0,-6.0,-6.0,-6.0
"(9,3)",-5.0,-7.0,-205.0,-206.0
"(9,4)",-8.0,-6.0,-6.0,-8.0
"(9,5)",-208.0,-7.0,-206.0,-9.0
"(9,6)",-207.0,-207.0,-8.0,-8.0
"(9,7)",-7.0,-206.0,-9.0,-7.0
"(9,8)",-6.0,-6.0,-8.0,-205.0
"(9,9)",-5.0,-5.0,-5.0,-5.0
"(9,1)",-5.0,-4.0,-205.0,-4.0
"(9,1)",-5.0,-3.0,-5.0,-3.0
"(9,1)",-4.0,-4.0,-4.0,-3.0
"(1,0)",-203.0,-6.0,-6.0,-6.0
"(1,0)",-6.0,-5.0,-6.0,-6.0
"(1,0)",-205.0,-5.0,-6.0,-7.0
"(1,0)",-6.0,-7.0,-6.0,-8.0
"(1,0)",-206.0,-8.0,-7.0,-7.0
"(1,0)",-8.0,-7.0,-8.0,-207.0
"(1,0)",-9.0,-207.0,-7.0,-206.0
"(1,0)",-8.0,-206.0,-207.0,-6.0
"(1,0)",-7.0,-6.0,-206.0,-5.0
"(1,0)",-205.0,-5.0,-6.0,-4.0
"(1,0)",-5.0,-4.0,-5.0,-3.0
"(1,0)",-4.0,-2.0,-4.0,-4.0
"(1,0)",-3.0,-4.0,-3.0,-4.0
