,up,down,left,right
"(9,2)",-1.0,0.0,-1.0,0.0
"(9,3)",-1.0,-1.0,-200.0,0.0
"(9,4)",-1.0,0.0,0.0,-1.0
"(9,5)",-200.8,0.0,0.0,-1.0
"(9,6)",-200.0,-200.0,0.0,0.0
"(9,7)",-1.0,0.0,0.0,-1.0
"(9,8)",-1.0,-1.0,-1.0,-200.0
"(9,9)",-1.0,0.0,0.0,-1.0
"(9,1)",-1.0,-1.0,0.0,0.0
"(9,1)",-1.8,-1.0,0.0,0.0
"(9,1)",-1.0,0.0,-1.0,-1.0
"(1,0)",-200.0,0.0,0.0,-1.0
"(1,0)",-1.0,0.0,-1.0,0.0
"(1,0)",-200.0,-1.0,-1.0,0.0
"(1,0)",-1.0,0.0,-1.0,0.0
"(1,0)",-200.0,0.0,0.0,0.0
"(1,0)",-1.0,0.0,0.0,0.0
"(1,0)",-1.0,-200.0,-1.0,0.0
"(1,0)",-1.0,0.0,0.0,0.0
"(1,0)",-1.0,0.0,-200.0,0.0
"(1,0)",-200.0,-1.0,-1.0,-1.0
"(1,0)",-1.0,-1.0,0.0,0.0
"(1,0)",-1.0,0.0,0.0,-1.0
"(1,0)",-1.0,0.0,0.0,-1.0
